_program_index,program_index,pixel_count,abs_diff_pixel_count,pixel_count_p,abs_diff_pixel_count_p,datetime_jst,speed_distance_km_h,abs_diff_distance_m,camera_command,camera_recording,speaker_on
-1912,1,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1911,2,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1910,3,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1909,4,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1908,5,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1907,6,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1906,7,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1905,8,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1904,9,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1903,10,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1902,11,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1901,12,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1900,13,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1899,14,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1898,15,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1897,16,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1896,17,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
