_program_index,program_index,pixel_count,abs_diff_pixel_count,pixel_count_p,abs_diff_pixel_count_p,datetime_jst,speed_distance_km_h,abs_diff_distance_m,camera_command,camera_recording,speaker_on
0,1,0,0,0.0,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
1,2,671,671,0.0021842447916666,0.0021842447916666,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
2,3,671,0,0.0021842447916666,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
3,4,671,0,0.0021842447916666,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
4,5,671,0,0.0021842447916666,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
5,6,1080,409,0.003515625,0.0013313802083333,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
6,7,1080,0,0.003515625,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
7,8,1080,0,0.003515625,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
8,9,1080,0,0.003515625,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
9,10,1312,232,0.0042708333333333,0.0007552083333333,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
10,11,1312,0,0.0042708333333333,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
11,12,1312,0,0.0042708333333333,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
12,13,1312,0,0.0042708333333333,0.0,2024-05-15 17:12:09+09:00,1.5990510837898897,0.4441808566083026,1.0,1.0,0.0
13,14,0,1312,0.0,0.0042708333333333,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
14,15,0,0,0.0,0.0,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
15,16,0,0,0.0,0.0,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
16,17,0,0,0.0,0.0,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
17,18,0,0,0.0,0.0,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
18,19,0,0,0.0,0.0,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
19,20,0,0,0.0,0.0,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
20,21,0,0,0.0,0.0,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
21,22,0,0,0.0,0.0,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
22,23,4812,4812,0.0156640625,0.0156640625,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
23,24,9956,5144,0.0324088541666666,0.0167447916666666,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
24,25,11737,3011,0.0382063802083333,0.0098014322916666,2024-05-15 17:12:10+09:00,0.0,0.4441808566083026,1.0,1.0,0.0
