file_name,test_id,session_id,index,_program_index,program_index,old_index,unixtime,datetime_utc,datetime_jst,rtc_year,rtc_month,rtc_day,rtc_hour,rtc_min,rtc_sec,rtc_msec,gps_hour,gps_min,gps_sec,latitude,longitude,altitude,fix_type,SIV,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,illuminance,atmopress,water_pressure,water_temp,depth,alt_wps,battery_level,behavior_class,camera_command,camera_recording,camera_count,play_audio,speaker_on,audio_file,prev_sd_write_time_ms,delay_occurred_counter,speed_geodesic_m_s,speed_geodesic_km_h,speed_distance_m_s,speed_distance_km_h,cum_distance_m,diff_distance_m,abs_diff_distance_m,abs_speed_diff,turning_angle
LBP08_S10,LBP08,10,0,0,1,36000,1716497011.0,2024-05-23 20:43:31+00:00,2024-05-24 05:43:31+09:00,2024,5,23,20,43,31,0,20.0,43.0,29.0,40.795208,141.621948,-0.14,3.0,15.0,-0.058105,-0.080811,0.095947,10.375977,-126.220703,-37.04834,-589.0,29.0,592.0,110.0,0.0,1021.099976,25.67,0.080269,-65.114113,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBP08_S10,LBP08,10,1,1,2,36025,1716497012.0,2024-05-23 20:43:32+00:00,2024-05-24 05:43:32+09:00,2024,5,23,20,43,32,0,20.0,43.0,30.0,40.795135,141.621964,-0.332,3.0,15.0,0.166016,-0.225098,1.394043,47.424316,-12.512207,17.822266,-588.0,35.0,592.0,90.0,0.0,1021.299988,25.709999,0.082251,-66.767876,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,8.218338316921235,29.58601794091645,8.218338316921235,29.58601794091645,8.218338316921235,8.218338316921235,8.218338316921235,8.218338316921235,0.0
LBP08_S10,LBP08,10,2,2,3,36050,1716497013.0,2024-05-23 20:43:33+00:00,2024-05-24 05:43:33+09:00,2024,5,23,20,43,33,0,20.0,43.0,31.0,40.795059,141.621979,-1.197,3.0,15.0,-0.432129,-0.68457,1.945312,-2.319336,-36.132812,-10.375977,-591.0,34.0,589.0,100.0,0.0,1021.200012,25.780001,0.08126,-65.941277,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,8.53420956018689,30.723154416672802,8.53420956018689,30.723154416672802,16.752547877108125,0.3158712432656543,0.3158712432656543,0.3158712432656543,1.1976122153555135
LBP08_S10,LBP08,10,3,3,4,36075,1716497014.0,2024-05-23 20:43:34+00:00,2024-05-24 05:43:34+09:00,2024,5,23,20,43,34,0,20.0,43.0,32.0,40.794983,141.621994,-0.115,3.0,15.0,0.44165,0.091064,0.830078,-51.879883,-64.63623,-17.272949,-587.0,22.0,595.0,111.0,0.0,1020.700012,25.84,0.076305,-61.806309,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,6.0,0.0,8.534209663239457,30.723154787662047,8.534209663239457,30.723154787662047,25.28675754034758,1.0305256736842239e-07,1.0305256736842239e-07,1.0305256736842239e-07,0.0
LBP08_S10,LBP08,10,4,4,5,36100,1716497015.0,2024-05-23 20:43:35+00:00,2024-05-24 05:43:35+09:00,2024,5,23,20,43,35,0,20.0,43.0,33.0,40.79491,141.622025,-0.485,3.0,15.0,-0.100342,-0.378174,0.551514,5.981445,160.827637,23.071289,-585.0,23.0,593.0,0.0,0.0,1021.299988,25.91,0.082251,-66.767876,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,5.0,0.0,8.518363236726131,30.666107652214073,8.518363236726131,30.666107652214073,33.80512077707371,-0.015846426513325795,0.015846426513325795,0.015846426513325795,11.843989916656785
LBP08_S10,LBP08,10,5,5,6,36125,1716497016.0,2024-05-23 20:43:36+00:00,2024-05-24 05:43:36+09:00,2024,5,23,20,43,36,0,20.0,43.0,34.0,40.794842,141.622086,-0.968,3.0,15.0,-0.205078,-0.635498,1.54541,23.071289,-27.709961,-9.033203,-586.0,18.0,593.0,0.0,0.0,1020.599976,25.959999,0.075314,-60.978813,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,5.0,0.0,9.139298089096153,32.901473120746154,9.139298089096153,32.901473120746154,42.94441886616986,0.6209348523700218,0.6209348523700218,0.6209348523700218,18.885102811956397
LBP08_S10,LBP08,10,6,6,7,36150,1716497017.0,2024-05-23 20:43:37+00:00,2024-05-24 05:43:37+09:00,2024,5,23,20,43,37,0,20.0,43.0,35.0,40.794777,141.622147,-0.892,3.0,15.0,0.159424,-0.232422,1.005859,57.067871,3.662109,-10.681152,-590.0,15.0,593.0,0.0,0.0,1020.799988,26.02,0.077296,-62.633232,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,5.0,0.0,8.86602037224992,31.917673340099714,8.86602037224992,31.917673340099714,51.81043923841978,-0.27327771684623237,0.27327771684623237,0.27327771684623237,1.287724144282072
LBP08_S10,LBP08,10,7,7,8,36175,1716497018.0,2024-05-23 20:43:38+00:00,2024-05-24 05:43:38+09:00,2024,5,23,20,43,38,0,20.0,43.0,36.0,40.794716,141.622208,-1.022,3.0,15.0,0.380127,-0.456055,1.599854,65.368652,5.981445,22.277832,-584.0,31.0,596.0,0.0,0.0,1020.700012,26.059999,0.076305,-61.806309,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,6.0,0.0,8.50828965986766,30.629842775523578,8.50828965986766,30.629842775523578,60.318728898287446,-0.35773071238225995,0.35773071238225995,0.35773071238225995,1.8183029497338998
LBP08_S10,LBP08,10,8,8,9,36200,1716497019.0,2024-05-23 20:43:39+00:00,2024-05-24 05:43:39+09:00,2024,5,23,20,43,39,0,20.0,43.0,37.0,40.794651,141.622269,-1.799,3.0,15.0,-0.076172,-0.299316,1.595215,-77.087402,16.296387,36.987305,-588.0,27.0,592.0,0.0,0.0,1020.5,26.1,0.074323,-60.15176,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,5.0,0.0,8.866025894730363,31.917693221029307,8.866025894730363,31.917693221029307,69.18475479301782,0.3577362348627027,0.3577362348627027,0.3577362348627027,1.8183029630549212
LBP08_S10,LBP08,10,9,9,10,36225,1716497020.0,2024-05-23 20:43:40+00:00,2024-05-24 05:43:40+09:00,2024,5,23,20,43,40,0,20.0,43.0,38.0,40.794586,141.62233,-1.892,3.0,14.0,0.337158,0.596436,0.789062,108.459473,-30.334473,-55.480957,-587.0,28.0,593.0,75.0,0.0,1020.900024,26.139999,0.078287,-63.460594,3.796875,0.0,1.0,1.0,10.0,0.0,0.0,0.0,3.0,0.0,8.866028743818003,31.917703477744812,8.866028743818003,31.917703477744812,78.05078353683582,2.849087639589243e-06,2.849087639589243e-06,2.849087639589243e-06,0.0
