,unixtime,datetime_utc,datetime_jst,rtc_year,rtc_month,rtc_day,rtc_hour,rtc_min,rtc_sec,rtc_msec,gps_hour,gps_min,gps_sec,latitude,longitude,altitude,fix_type,SIV,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,illuminance,atmopress,water_pressure,water_temp,depth,alt_wps,battery_level,behavior_class,camera_command,camera_recording,camera_count,play_audio,speaker_on,audio_file,prev_sd_write_time_ms,delay_occurred_counter
0,1715813460.0,2024-05-15 22:51:00+00:00,2024-05-16 07:51:00+09:00,2024,5,15,22,51,0,0,22.0,51.0,0.0,40.53907,141.557114,3.074,2.0,3.0,-0.062256,-0.292236,0.963623,-1.159668,-1.281738,-0.183105,-368.0,19.0,447.0,941.0,0.0,1037.300049,37.990002,0.240808,-198.219589,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
25,1715813461.0,2024-05-15 22:51:01+00:00,2024-05-16 07:51:01+09:00,2024,5,15,22,51,1,0,22.0,51.0,1.0,40.539066,141.557114,2.459,2.0,3.0,-0.059814,-0.295898,0.958252,-1.403809,0.061035,1.403809,-370.0,20.0,446.0,746.0,0.0,1037.0,37.990002,0.237835,-195.769623,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,7.0,0.0
50,1715813462.0,2024-05-15 22:51:02+00:00,2024-05-16 07:51:02+09:00,2024,5,15,22,51,2,0,22.0,51.0,2.0,40.539047,141.557129,2.827,2.0,3.0,-0.083984,-0.301025,0.960938,-0.366211,-0.732422,-0.305176,-370.0,20.0,444.0,1080.0,0.0,1036.900024,37.98,0.236844,-194.953186,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
75,1715813463.0,2024-05-15 22:51:03+00:00,2024-05-16 07:51:03+09:00,2024,5,15,22,51,3,0,22.0,51.0,3.0,40.539013,141.557144,1.807,2.0,3.0,-0.07959,-0.290527,0.959473,0.488281,-1.037598,0.366211,-370.0,20.0,446.0,1040.0,0.0,1037.599976,37.98,0.243781,-200.667969,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
100,1715813464.0,2024-05-15 22:51:04+00:00,2024-05-16 07:51:04+09:00,2024,5,15,22,51,4,0,22.0,51.0,4.0,40.538998,141.557144,1.76,2.0,3.0,-0.084473,-0.297119,0.959961,-0.610352,0.305176,-0.183105,-371.0,21.0,445.0,1052.0,0.0,1036.800049,37.98,0.235854,-194.136673,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,7.0,0.0
125,1715813465.0,2024-05-15 22:51:05+00:00,2024-05-16 07:51:05+09:00,2024,5,15,22,51,5,0,22.0,51.0,5.0,40.53899,141.557129,1.067,2.0,3.0,-0.093018,-0.295166,0.955566,1.464844,-1.159668,-0.488281,-371.0,20.0,444.0,1148.0,0.0,1037.400024,37.98,0.241799,-199.035782,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,6.0,0.0
150,1715813466.0,2024-05-15 22:51:06+00:00,2024-05-16 07:51:06+09:00,2024,5,15,22,51,6,0,22.0,51.0,6.0,40.538982,141.557129,-0.048,2.0,3.0,-0.072266,-0.299316,0.965576,-6.347656,1.586914,-0.183105,-370.0,20.0,445.0,1186.0,0.0,1037.400024,37.98,0.241799,-199.035782,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,6.0,0.0
175,1715813467.0,2024-05-15 22:51:07+00:00,2024-05-16 07:51:07+09:00,2024,5,15,22,51,7,0,22.0,51.0,7.0,40.538979,141.557129,1.088,2.0,3.0,-0.087158,-0.299561,0.956055,-0.427246,0.244141,0.061035,-371.0,19.0,447.0,1217.0,0.0,1037.400024,37.98,0.241799,-199.035782,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,7.0,0.0
200,1715813468.0,2024-05-15 22:51:08+00:00,2024-05-16 07:51:08+09:00,2024,5,15,22,51,8,0,22.0,51.0,8.0,40.538975,141.557129,0.466,2.0,3.0,-0.086182,-0.290283,0.962646,-0.671387,-1.159668,0.12207,-370.0,20.0,446.0,1234.0,0.0,1036.900024,37.990002,0.236844,-194.953186,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,6.0,0.0
225,1715813469.0,2024-05-15 22:51:09+00:00,2024-05-16 07:51:09+09:00,2024,5,15,22,51,9,0,22.0,51.0,9.0,40.538963,141.557129,0.824,2.0,3.0,-0.082764,-0.297119,0.959473,-0.793457,0.305176,-0.183105,-370.0,20.0,448.0,1242.0,0.0,1037.400024,37.98,0.241799,-199.035782,3.867188,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,9.0,0.0
