,unixtime,datetime_utc,datetime_jst,rtc_year,rtc_month,rtc_day,rtc_hour,rtc_min,rtc_sec,rtc_msec,gps_hour,gps_min,gps_sec,latitude,longitude,altitude,fix_type,SIV,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,illuminance,atmopress,water_pressure,water_temp,depth,alt_wps,battery_level,behavior_class,camera_command,camera_recording,camera_count,play_audio,speaker_on,audio_file,prev_sd_write_time_ms,delay_occurred_counter
0,1715391240.0,2024-05-11 01:34:00+00:00,2024-05-11 10:34:00+09:00,2024,5,11,1,34,0,0,1.0,34.0,0.0,40.53912,141.557571,4.118,3.0,5.0,-0.237793,-0.195801,0.974609,-1.464844,-0.061035,3.051758,-533.0,43.0,628.0,1226.0,0.0,1018.5,39.110001,0.054504,-43.592819,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
25,1715391241.0,2024-05-11 01:34:01+00:00,2024-05-11 10:34:01+09:00,2024,5,11,1,34,1,0,1.0,34.0,1.0,40.539116,141.557571,4.439,3.0,5.0,-0.241455,-0.169434,0.980469,-0.488281,-1.037598,0.061035,-533.0,43.0,629.0,1230.0,0.0,1018.900024,39.099998,0.058468,-46.906914,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,11.0,0.0
50,1715391242.0,2024-05-11 01:34:02+00:00,2024-05-11 10:34:02+09:00,2024,5,11,1,34,2,0,1.0,34.0,2.0,40.539112,141.557571,4.523,3.0,5.0,-0.226318,-0.181396,0.981445,0.610352,-2.13623,-1.220703,-532.0,43.0,628.0,1231.0,0.0,1018.799988,39.09,0.057477,-46.078239,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
75,1715391243.0,2024-05-11 01:34:03+00:00,2024-05-11 10:34:03+09:00,2024,5,11,1,34,3,0,1.0,34.0,3.0,40.539108,141.557571,3.635,3.0,5.0,-0.1875,-0.17334,0.975098,-1.403809,0.488281,3.112793,-532.0,44.0,627.0,1238.0,0.0,1018.5,39.09,0.054504,-43.592819,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
100,1715391244.0,2024-05-11 01:34:04+00:00,2024-05-11 10:34:04+09:00,2024,5,11,1,34,4,0,1.0,34.0,4.0,40.539104,141.557571,2.652,3.0,5.0,-0.202148,-0.177002,0.990723,-0.366211,-0.915527,0.549316,-531.0,45.0,628.0,1241.0,0.0,1018.799988,39.09,0.057477,-46.078239,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,6.0,0.0
125,1715391245.0,2024-05-11 01:34:05+00:00,2024-05-11 10:34:05+09:00,2024,5,11,1,34,5,0,1.0,34.0,5.0,40.539104,141.557571,2.319,3.0,5.0,-0.201416,-0.19873,0.982666,-0.305176,1.342773,-2.319336,-531.0,43.0,631.0,1250.0,0.0,1018.5,39.080002,0.054504,-43.592819,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
150,1715391246.0,2024-05-11 01:34:06+00:00,2024-05-11 10:34:06+09:00,2024,5,11,1,34,6,0,1.0,34.0,6.0,40.539104,141.557571,2.312,3.0,5.0,-0.289551,0.437256,0.581543,155.151367,66.162109,65.185547,-535.0,23.0,628.0,2270.0,0.0,1019.099976,39.080002,0.06045,-48.563061,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
175,1715391247.0,2024-05-11 01:34:07+00:00,2024-05-11 10:34:07+09:00,2024,5,11,1,34,7,0,1.0,34.0,7.0,40.539101,141.557556,1.843,3.0,5.0,-0.227295,0.699951,0.667969,-6.835938,-4.333496,-0.854492,-534.0,12.0,618.0,3062.0,0.0,1018.599976,39.080002,0.055495,-44.421192,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,6.0,0.0
200,1715391248.0,2024-05-11 01:34:08+00:00,2024-05-11 10:34:08+09:00,2024,5,11,1,34,8,0,1.0,34.0,8.0,40.539097,141.557556,2.141,3.0,5.0,-0.202637,0.456055,0.885742,-2.807617,-2.319336,-1.89209,-532.0,20.0,624.0,2844.0,0.0,1018.700012,39.080002,0.056486,-45.25,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
225,1715391249.0,2024-05-11 01:34:09+00:00,2024-05-11 10:34:09+09:00,2024,5,11,1,34,9,0,1.0,34.0,9.0,40.539101,141.557556,1.727,3.0,5.0,-0.129639,0.454346,0.911377,2.075195,-4.02832,-1.647949,-530.0,20.0,625.0,2751.0,0.0,1018.599976,39.080002,0.055495,-44.421192,4.134375,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
